number,name,votes,electronic,abroad,mandate,district,party
936,Tarmo Tamm,452,99,1,#N/A,11,Sotsiaaldemokraatlik Erakond
511,Trivimi Velliste,451,167,13,#N/A,12,Erakond Isamaa ja Res Publica Liit
590,Monika Haukanõmm,450,269,1,Kompensatsioonimandaat,2,Eesti Vabaerakond
589,Jevgeni Krištafovitš,446,250,1,#N/A,2,Eesti Vabaerakond
190,Urmas Selirand,442,134,1,#N/A,5,Eesti Konservatiivne Rahvaerakond
215,Enn Sarv,441,121,2,#N/A,8,Eesti Konservatiivne Rahvaerakond
334,Tiit Kuusmik,438,126,1,#N/A,7,Eesti Reformierakond
780,Helmut Hallemaa,435,44,0,#N/A,8,Eesti Keskerakond
787,Urbo Vaarmann,431,28,0,#N/A,9,Eesti Keskerakond
535,Aleksei Lotman,430,228,1,#N/A,5,Erakond Eestimaa Rohelised
342,Madis Timpson,430,147,0,#N/A,8,Eesti Reformierakond
772,Tarmo Tammiste,429,55,1,#N/A,7,Eesti Keskerakond
528,Valdur Lahtvee,427,176,1,#N/A,4,Erakond Eestimaa Rohelised
279,Kalev Kallemets,423,218,1,#N/A,2,Eesti Reformierakond
454,Kaja Kreisman,421,140,1,#N/A,7,Erakond Isamaa ja Res Publica Liit
427,Lauri Vahtre,419,221,7,#N/A,4,Erakond Isamaa ja Res Publica Liit
340,Peep Aru,416,158,0,#N/A,8,Eesti Reformierakond
615,Aimar Altosaar,413,230,2,#N/A,4,Eesti Vabaerakond
477,Joel Luhamets,413,136,3,#N/A,9,Erakond Isamaa ja Res Publica Liit
365,Valvo Semilarski,412,151,0,#N/A,10,Eesti Reformierakond
344,Rait Pihelgas,409,159,0,#N/A,8,Eesti Reformierakond
373,Peeter Sibul,408,131,4,#N/A,11,Eesti Reformierakond
705,Lauri Laasi,407,40,0,Kompensatsioonimandaat,1,Eesti Keskerakond
693,Kadri Jäätma,407,174,1,#N/A,12,Eesti Vabaerakond
518,Aleksander Laane,404,145,2,#N/A,2,Erakond Eestimaa Rohelised
312,Vladas Radvilavičius,401,204,0,#N/A,4,Eesti Reformierakond
717,Kalle Klandorf,400,73,0,#N/A,2,Eesti Keskerakond
374,Jüri Kaver,395,129,2,#N/A,11,Eesti Reformierakond
464,Tiina Oraste,391,133,1,#N/A,8,Erakond Isamaa ja Res Publica Liit
805,Vladimir Šokman,390,30,1,#N/A,10,Eesti Keskerakond
937,Silja Suija,390,139,2,#N/A,11,Sotsiaaldemokraatlik Erakond
732,Tiit Terik,389,46,0,#N/A,3,Eesti Keskerakond
841,Vadim Belobrovtsev,387,124,0,#N/A,2,Sotsiaaldemokraatlik Erakond
376,Liivi Maran,384,112,1,#N/A,11,Eesti Reformierakond
405,Priidu Pärna,381,219,1,#N/A,2,Erakond Isamaa ja Res Publica Liit
465,Ando Kiviberg,378,155,2,#N/A,8,Erakond Isamaa ja Res Publica Liit
722,Maria Jufereva,376,58,0,#N/A,2,Eesti Keskerakond
545,Mart Jüssi,376,150,2,#N/A,10,Erakond Eestimaa Rohelised
888,Eerik Lumiste,371,92,1,#N/A,6,Sotsiaaldemokraatlik Erakond
307,Andrus Umboja,369,167,0,#N/A,4,Eesti Reformierakond
895,Jaak Allik,369,93,1,#N/A,7,Sotsiaaldemokraatlik Erakond
767,Urmas Tamm,365,44,1,#N/A,6,Eesti Keskerakond
475,Anti Orav,365,116,0,#N/A,9,Erakond Isamaa ja Res Publica Liit
947,Valter Parve,363,119,1,#N/A,12,Sotsiaaldemokraatlik Erakond
189,Hardi Rehkalt,359,122,2,#N/A,5,Eesti Konservatiivne Rahvaerakond
854,Olga Sõtnik,358,158,1,#N/A,3,Sotsiaaldemokraatlik Erakond
303,Tõnis Kõiv,355,186,2,#N/A,4,Eesti Reformierakond
738,Kerstin-Oudekki Loone,354,64,0,#N/A,4,Eesti Keskerakond
361,Mihkel Lees,354,172,0,#N/A,10,Eesti Reformierakond
800,Natalja Trošina,354,16,2,#N/A,10,Eesti Keskerakond
857,Anto Liivat,353,186,0,#N/A,3,Sotsiaaldemokraatlik Erakond
448,Mihkel Juhkami,352,135,4,#N/A,6,Erakond Isamaa ja Res Publica Liit
224,Tiit Rosin,352,79,0,#N/A,9,Eesti Konservatiivne Rahvaerakond
744,Oleg Tšubarov,351,36,0,#N/A,4,Eesti Keskerakond
135,Andrus Soopalu,349,78,0,#N/A,12,Rahva Ühtsuse Erakond
523,Tõnu Trubetsky,347,120,4,#N/A,3,Erakond Eestimaa Rohelised
710,Enno Tamm,346,55,0,#N/A,1,Eesti Keskerakond
442,Georg Linkov,344,143,1,#N/A,5,Erakond Isamaa ja Res Publica Liit
883,Reili Rand,342,154,0,#N/A,5,Sotsiaaldemokraatlik Erakond
889,Ene Augasmägi,342,80,0,#N/A,6,Sotsiaaldemokraatlik Erakond
401,Hendrik Agur,336,188,1,#N/A,2,Erakond Isamaa ja Res Publica Liit
468,Lembit Kruuse,336,103,0,#N/A,8,Erakond Isamaa ja Res Publica Liit
496,Kurmet Müürsepp,330,96,1,#N/A,11,Erakond Isamaa ja Res Publica Liit
336,Ain Seppik,326,93,0,#N/A,7,Eesti Reformierakond
670,Märt Läänemets,326,145,0,#N/A,9,Eesti Vabaerakond
174,Mart Järvik,323,94,0,#N/A,4,Eesti Konservatiivne Rahvaerakond
758,Mart Mäeker,321,48,0,#N/A,5,Eesti Keskerakond
542,Rasmus Lahtvee,321,146,3,#N/A,9,Erakond Eestimaa Rohelised
664,Madis Avi,321,118,1,#N/A,9,Eesti Vabaerakond
353,Kalmer Lain,319,102,0,#N/A,9,Eesti Reformierakond
885,Raimu Aardam,315,79,2,#N/A,5,Sotsiaaldemokraatlik Erakond
466,Priit Värk,313,102,1,#N/A,8,Erakond Isamaa ja Res Publica Liit
